广西移动CDN版,#genre#
CCTV7[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226536/index.m3u8
CCTV8[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226603/index.m3u8
CCTV8[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226721/index.m3u8
CCTV9[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226648/index.m3u8
CCTV9[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226552/index.m3u8
CCTV10[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226640/index.m3u8
CCTV10[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226589/index.m3u8
CCTV11[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226816/index.m3u8
CCTV11[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226639/index.m3u8
CCTV11 1080,http://39.135.33.12/PLTV/77777777/224/3221226639/index.m3u8
CCTV12[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226713/index.m3u8
CCTV12[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226534/index.m3u8
CCTV13[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226853/index.m3u8
CCTV13[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226821/index.m3u8
CCTV13[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226819/index.m3u8
CCTV13[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226580/index.m3u8
CCTV14[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226715/index.m3u8
CCTV14[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226591/index.m3u8
CCTV15[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226582/index.m3u8
CCTV15[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226818/index.m3u8
CCTV17[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226815/index.m3u8
CCTV17[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226610/index.m3u8
东南卫视[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226588/index.m3u8
东方卫视[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226554/index.m3u8
东方卫视[1920*1080],http://39.135.33.12/PLTV/77777777/224/3221226652/index.m3u8
